C O Xe 2 Sb 6 9.603148226
Ca O F 2 Cs 6 -7.11001833
Mg S Al 2 In 6 4.7135857125
Cs Te S 2 Si 6 18.3745801283
Pb Sn P 2 He 6 13.204600327
Be Si Tl 2 H 6 4.6121622
Ar Be Cl 2 Si 6 10.17306835
B P Kr 2 H 6 8.14205584867
Ne Se Te 2 Al 6 6.280827731
As Kr Sr 2 Ga 6 3.221933416
Mg Rb Kr 2 Br 6 -5.282449538
B S Ar 2 Li 6 0.0224204791667
Mg O F 2 Ca 6 -7.14549965
Ga Na Li 2 O 6 -4.5534071
H Kr Pb 2 Ar 6 8.186540166
Ar As O 2 B 6 31.9818724
Ga In Ge 2 Sb 6 7.6455181
Cl Mg Sr 2 Na 6 -1.83244545
Ca Cl Ne 2 He 6 1.961633589
Ge Li Cs 2 P 6 5.77778890667
Cs I Bi 2 Ca 6 3.11909187
Ar Bi Xe 2 Te 6 8.560412676
N Se Ca 2 C 6 23.5376763833
F H O 2 Tl 6 -0.569632725
Ge K Mg 2 Ba 6 2.4025723
Ar N O 2 Ga 6 9.0551761
He Tl Bi 2 K 6 0.9503735795
Cs Se Xe 2 Ge 6 10.9540391293
Be Ge F 2 He 6 6.675981327
Ar N Sb 2 Kr 6 10.640707096
I Si Ne 2 Be 6 15.386845362
Ne Tl Rb 2 As 6 7.298612991
Pb Tl Ar 2 N 6 25.04392
Cs Sr P 2 N 6 29.82373347
Bi P Xe 2 O 6 -1.829666124
B S Ge 2 C 6 24.5663675792
Be Ga Cs 2 Ba 6 1.55803854
As O Li 2 Be 6 3.04972908333
Li Si N 2 Mg 6 10.9059513667
Ar Pb Cs 2 C 6 33.99064989
Be Se Sb 2 I 6 3.87496623333
Al Be K 2 Bi 6 1.4818959
Rb Te P 2 S 6 11.6509282383
Ar Ge Al 2 N 6 26.23818555
C Ge S 2 Al 6 4.607001525
Ar Cs Ga 2 Se 6 11.40998082
F Ne Tl 2 Sn 6 1.470254606
Al F Sn 2 Ba 6 -6.088480625
O Te Cs 2 Xe 6 2.75441715133
Ba N He 2 Ga 6 2.953958909
Be Bi Kr 2 F 6 -15.577062818
F Ne Na 2 In 6 -0.688808160667
Ge Se Sn 2 Pb 6 3.90890183333
Li Sn P 2 Ne 6 9.20362960267
Cs O Ba 2 N 6 17.83064667
As Be Li 2 Pb 6 3.84314448333
Ba Cl Bi 2 He 6 3.645042027
Ca F Ba 2 As 6 -2.669423425
Ne Rb K 2 Bi 6 5.148482261
C Xe Ga 2 Br 6 5.002395213
He Mg Kr 2 Rb 6 2.1026837915
Sb Sr B 2 Si 6 22.4282253833
Ga Mg P 2 Cs 6 5.51373092
K Na Tl 2 Cl 6 -8.37021163333
Cl Kr O 2 Mg 6 10.634460216
B O Ca 2 Bi 6 -1.15163113333
Ar Ba K 2 I 6 -7.43310545
Ge S Se 2 B 6 17.3466737792
H Pb Ca 2 Be 6 3.1199086
Bi Br As 2 O 6 3.5869266
Cs Kr B 2 Cl 6 11.7046134693
I K Pb 2 He 6 4.359666577
I N Te 2 Be 6 4.99057541667
Be Ge H 2 Ga 6 6.7666158
In Se Tl 2 I 6 -3.00387486667
Li Ne O 2 P 6 15.4470196977
Br Xe Ge 2 Cl 6 6.623128713
F Sn I 2 O 6 5.583588125
He Li Cs 2 Ga 6 4.39935168617
In Kr Rb 2 F 6 -20.253322624
Ne Sr Br 2 Xe 6 -0.995562691
Pb Xe Cs 2 S 6 3.612938828
Ar Si Cs 2 P 6 7.68780909
Bi F Sr 2 K 6 -4.460037825
B Na Cs 2 I 6 -5.91522422667
N Si B 2 Sb 6 14.2853066833
Mg Sn Cs 2 Al 6 6.32913889
Bi Cl S 2 He 6 9.890351652
As Na Xe 2 Ne 6 3.89830602867
Bi Mg Pb 2 Sr 6 -0.4043714
B Rb Ge 2 Al 6 9.27457699667
Ca Se Cl 2 Kr 6 1.86757042933
Cl Kr Na 2 F 6 -9.77838540067
N Rb Ar 2 B 6 19.52061948
Ge H Ba 2 Pb 6 -0.9964409
B Sb Pb 2 Si 6 7.51398961667
Br S Sr 2 Pb 6 -0.7676803875
Ca N Ge 2 I 6 5.17968495
O Se Br 2 Pb 6 -1.67402926667
Be Pb Mg 2 As 6 5.5374102
Be Ge I 2 O 6 -4.6310964
In Sb Xe 2 Mg 6 4.680789776
F Xe Ga 2 Se 6 8.324324488
Ar Se Pb 2 Ca 6 -1.49405161667
Ar P Ca 2 Li 6 0.8901035
As S O 2 Bi 6 8.7455476625
Ga Xe Ge 2 In 6 10.268442113
Ar Cl N 2 Tl 6 12.6798263
As Cs Te 2 Rb 6 -1.97973743333
Ca Xe Kr 2 Sr 6 8.043893545
B Kr C 2 Sr 6 14.7126633327
B Cs Sb 2 Al 6 7.67183973667
Br I Sr 2 S 6 -2.289868925
B In Ca 2 H 6 0.686078866667
K Te Pb 2 Al 6 9.67829783333
Br Mg Ca 2 S 6 -3.231472425
Ar S I 2 Cs 6 -7.2533146175
Se Te Be 2 Si 6 16.6591210667
H In Na 2 O 6 -1.08947296667
Ar S Li 2 Cs 6 -1.68049388417
Pb S As 2 Mg 6 0.3512675125
Al Cs Xe 2 Tl 6 3.868089696
Li Se Si 2 Al 6 7.04453
Ar Rb Br 2 K 6 -1.17014622
He P Rb 2 Te 6 0.1676249895
Ge Ne K 2 N 6 18.949822431
Ar Na Sb 2 Ca 6 4.53806551667
F Ga S 2 Na 6 -6.5429608
Cl Pb Kr 2 Ge 6 10.967077182
Cl Ne Ca 2 As 6 4.898758581
Kr O Ba 2 Sn 6 -0.801799434
N O H 2 Tl 6 6.08833525
Ca Mg Cs 2 Sb 6 0.84779734
H S B 2 Ga 6 9.93014314583
Ar Mg Tl 2 Br 6 -4.93403035
Kr Sn Na 2 Si 6 13.9362481493
Cs Xe Sr 2 Kr 6 3.588603669
I P Tl 2 Se 6 2.31790215
Cs Ne C 2 Sb 6 24.536714201
Be Li Sb 2 Na 6 3.46993196667
F I Al 2 In 6 1.994779675
Ga Sr Be 2 Te 6 8.1709911
Ar Mg K 2 C 6 33.20020265
Cl Si Te 2 S 6 6.26109349167
Ga Sb Ba 2 K 6 1.05133075
Ca Tl Sr 2 F 6 -27.68161235
Cl Cs F 2 Al 6 6.91944827
Al Cl O 2 Be 6 14.03279205
I Xe In 2 H 6 9.758286613
Ne Rb Si 2 He 6 7.317339838
Ga P K 2 Na 6 -0.70259675
Ca He Na 2 Sn 6 2.73862441283
B Ne Ga 2 In 6 6.13722439767
Br Tl Ga 2 N 6 23.7132977
Cl O Br 2 Al 6 1.14384135
Br O Bi 2 Cl 6 3.5223724
Br He Sb 2 Li 6 -4.2104407205
F Na I 2 Al 6 3.82178474167
Ba Rb Ge 2 H 6 9.45431123
Ar Rb Mg 2 Tl 6 8.38093738
Cs N Ba 2 C 6 22.93396302
As Sr Ge 2 Al 6 9.04539645
B Kr Ar 2 Pb 6 5.40175403267
Cl Sn Li 2 H 6 3.13480123333
He I Be 2 Sb 6 12.8681218795
Si Sn Sr 2 H 6 -0.05342965
Ar Ba Cl 2 Ga 6 8.19235285
S Xe Tl 2 O 6 -2.0635709745
Ar K Sr 2 F 6 -19.6444624
Ga O H 2 Ba 6 -1.1712026
Ne Sn Rb 2 N 6 19.649001041
O Rb Br 2 Tl 6 -2.40794467
Na Pb Cs 2 Tl 6 0.708311806667
Ar B Ba 2 F 6 -23.6477830333
F Se He 2 P 6 10.6904473673
Ba P Xe 2 Sr 6 3.469561176
Sr Tl Ge 2 In 6 7.5360698
Ba Sr K 2 Pb 6 4.0849838
Ba Ge Sr 2 F 6 -24.52447805
Br Ga Mg 2 S 6 3.556274575
C Sn Cs 2 Br 6 -5.51193441
K Na Cs 2 H 6 2.87931580667
Mg Xe Ar 2 O 6 7.828484413
H Kr Cl 2 Rb 6 -3.625396954
Ca K Se 2 Ne 6 2.08000455267
Sn Sr I 2 N 6 19.11325155
He N Mg 2 Li 6 0.3363073295
Ar Ne Ge 2 Ca 6 5.976417381
C Rb F 2 Ge 6 3.23231518
K O Rb 2 Br 6 -6.42345984
C Mg K 2 Sn 6 3.9858278
Ar Xe Sn 2 Bi 6 14.899042063
Cs Xe Sn 2 Ge 6 17.447414583
H Pb Cs 2 Te 6 0.15882974
P Tl K 2 As 6 4.08175845
Ne Se B 2 Li 6 6.29972839767
Ca Tl Br 2 Te 6 4.0765126
Ar Tl Sr 2 Ca 6 2.10084795
F Sr Li 2 In 6 -0.0668173916667
Cl S Mg 2 N 6 16.9780455625
Al Cs Ca 2 Sr 6 3.58344787
Ar C P 2 Ba 6 1.68151005
Ar Ge P 2 Al 6 14.02732695
Sn Te Ca 2 Tl 6 2.39857708333
P Si C 2 O 6 0.91821165
Ne S I 2 Na 6 -6.1443127565
P Si Cs 2 Be 6 10.88240479
Ge Tl B 2 Sn 6 15.0915789333
N Sr Ca 2 Sn 6 0.74087345
Mg O N 2 As 6 17.76061
Cs Xe Sb 2 Be 6 23.754965983
Ba In He 2 C 6 33.806425059
Rb Sr S 2 Ar 6 4.856443755
Se Sn Ba 2 Li 6 -3.54530931667
Ar Se Ge 2 K 6 0.487000383333
Bi H Cs 2 Ge 6 2.56488884
Kr Xe Se 2 O 6 16.6433446457
B Cs Pb 2 C 6 24.7710760367
Br H C 2 Tl 6 13.5873772
Ar Xe Tl 2 F 6 -6.351757387
As Ge Li 2 Ga 6 3.11140948333
Ba He F 2 P 6 8.0343798295
B Sr Kr 2 O 6 -1.24040930133
Ca H Cs 2 Se 6 -1.22497306
Cs S O 2 Sr 6 3.6009870825
As Bi Al 2 I 6 0.95380895
Rb Te Sr 2 Na 6 0.178664463333
Ar Xe Mg 2 Br 6 5.501429163
Ar Ba S 2 Br 6 4.076747775
Ba N Cl 2 As 6 8.74979635
As Ga Xe 2 Cs 6 0.026756396
F N Cs 2 Na 6 -1.594094635
Ba Mg F 2 O 6 -0.96006455
F K He 2 O 6 12.940220834
C Tl Ba 2 I 6 -3.9720252
C P Al 2 Si 6 7.34553395
Ar Cs Sn 2 Br 6 2.45664732
Bi Ne Cs 2 K 6 -0.722279729
Ge Na Cl 2 Al 6 5.65366006667
Al P Sn 2 F 6 -16.9432345
Bi H Xe 2 O 6 9.467544126
Cl Rb Be 2 P 6 20.54660478
Al Si N 2 O 6 1.262006
C He Be 2 N 6 24.6650030795
Ar Sb Li 2 Bi 6 7.87446153333
Ar Ga In 2 Be 6 15.75238385
Ar Te Ca 2 Pb 6 5.09164938333
Ca Ne N 2 Bi 6 17.328716731
Ar S C 2 I 6 18.1749535625
Cs Ge Ne 2 He 6 3.516598509
Rb S Sb 2 Ca 6 -0.5376244575
C N Al 2 In 6 7.38011235
Br Ga P 2 O 6 3.690845
C Ca Cs 2 Si 6 6.33787094
B Ca N 2 P 6 17.6113685667
Al H Sb 2 As 6 5.4599806
Bi F Ca 2 He 6 2.546906452
I Xe Mg 2 Be 6 19.919165913
Al Xe C 2 Si 6 27.664216213
O Rb Al 2 S 6 9.805530605
B Tl O 2 Pb 6 7.90838836667
B K Li 2 F 6 -23.00001005
Ar I Na 2 Ba 6 0.963972483333
Mg Sr Cs 2 Tl 6 0.56411664
P Se I 2 Sb 6 5.51220208333
B Kr Mg 2 Ga 6 7.49490773267
P Se Li 2 K 6 -1.97505288333
In Rb K 2 O 6 -4.17490227
Ar H Ba 2 Be 6 7.58234755
Te Xe Rb 2 Mg 6 5.83984790633
Cl F In 2 Na 6 -8.199974475
C I Xe 2 As 6 10.458573726
Ar F C 2 B 6 38.846267425
Rb Si F 2 Mg 6 3.35532268
Kr Pb N 2 S 6 21.991432141
Ne O Mg 2 Na 6 -1.861955469
Kr Rb Cs 2 Ge 6 13.445068936
Br N Xe 2 Bi 6 7.135052576
C Cs Kr 2 S 6 8.267151077
He K Si 2 Te 6 10.8328553795
Pb Te H 2 Cl 6 -1.23302406667
Cl K Ge 2 Si 6 16.38773165
He K P 2 Te 6 11.8894468795
B Ca Bi 2 H 6 3.85204856667
N Se Br 2 Sr 6 -8.08567801667
Ar In K 2 Li 6 2.31315665
Cl Se B 2 Ge 6 15.5952236167
Be I Mg 2 Si 6 10.1246983
Ge Ne Pb 2 Ba 6 -1.528740269
Ga He Ar 2 Te 6 5.5439995795
Ga In Li 2 Ba 6 0.441527533333
Ge Rb Cs 2 O 6 -8.22632713
K Li P 2 Ar 6 7.42971236667
Be P Li 2 Tl 6 2.67422398333
I Li S 2 Br 6 4.15132299167
N P He 2 Ga 6 6.336805659
I In Br 2 Ar 6 3.2313153
Cl Kr K 2 Ne 6 -0.594077598
F Sn Na 2 Al 6 1.43383265833
Li Xe Al 2 In 6 9.40573777967
Cs Ne Si 2 O 6 10.495505501
B Mg Bi 2 Ge 6 3.92790826667
Ge Rb O 2 P 6 17.66611623
In Li Kr 2 N 6 23.9544758987
Ga Ne Ca 2 Ba 6 0.949809131
Ne Sn Ar 2 In 6 5.744607781
Cl S Se 2 Rb 6 -9.31791409083
K Kr Ga 2 Ba 6 7.315410366
Ba Sn Si 2 F 6 -15.6636623
H S In 2 Pb 6 1.8831034125
Ba K N 2 Al 6 23.9037405
As B Pb 2 Br 6 0.851025416667
B Sb He 2 Se 6 5.95235117567
Al F Be 2 Xe 6 8.209563853
Ar Ga As 2 Li 6 2.38777955
Rb Xe Br 2 S 6 14.735350318
Rb Tl Li 2 Sr 6 3.70849956333
K Xe Ga 2 H 6 13.172116013
C Te Be 2 S 6 13.2559261083
Ba Sb I 2 Ge 6 8.29926705
Cl Se Ge 2 B 6 21.3489090833
Cl P Te 2 As 6 7.38167516667
Cl Sr O 2 B 6 26.48942165
Ba Kr B 2 Br 6 8.32616489933
Cs Ge S 2 Ga 6 7.413520195
Be Sn Rb 2 Se 6 -2.66860179
Mg O K 2 Te 6 -2.1963456
Tl Xe Ar 2 Kr 6 2.205276069
He N Ba 2 Br 6 -7.0563220705
O Sn Na 2 C 6 28.8222880833
He Xe Ga 2 Sr 6 6.2064973925
Cl N Na 2 Br 6 -0.110966266667
Cs O P 2 K 6 -0.72130993
In Te Ne 2 P 6 13.2990322953
O Rb P 2 Sb 6 10.09782013
I Rb Tl 2 Ar 6 2.81852443
F Ga Se 2 Be 6 5.08430304167
H Ne Ca 2 As 6 1.892202931
S Te K 2 Cl 6 -8.23376025417
I Mg C 2 P 6 26.737072
Ge Xe C 2 H 6 21.082206913
K Tl Ba 2 O 6 -10.2560426
Ge Ne Ca 2 Rb 6 2.541360711
Cs He Tl 2 K 6 3.0092469495
Na O Mg 2 Be 6 4.94612236667
Ar Rb I 2 Ca 6 7.04281498
Rb Sb Ca 2 Bi 6 4.65343728
Ca Ge Se 2 N 6 19.0564198667
